time_step,in_elevator_mean,in_elevator_plus_std,in_elevator_minus_std,in_elevator_plus95,in_elevator_minus95,exit_rate_mean,exit_rate_plus95,exit_rate_minus95,score_mean,score_plus_std,score_minus_std,score_plus95,score_minus95,initial_value_mean,initial_value_plus_std,initial_value_minus_std,initial_value_plus95,initial_value_minus95
0,0,0,0,0,0,0,0,0,-1.00104766893662,-0.786290841091874,-1.21580449678136,-0.946521301243606,-1.05557403662963,0.118150237059555,0.241429166427088,-0.00512869230797731,0.149450532835736,0.0868499412833746
5000,0,0,0,0,0,0,0,0,-0.992618917441225,-0.790903068345104,-1.19433476653735,-0.941403630515519,-1.04383420436693,0.24766267421607,0.358279530008729,0.137045818423411,0.275748092558884,0.219577255873256
10000,0,0,0,0,0,0,0,0,-1.00962354939145,-0.782827958829664,-1.23641913995324,-0.952040561757337,-1.06720653702557,0.495268480512194,0.657415682710159,0.333121278314229,0.536437360012644,0.454099601011743
15000,0.000581226387678001,0.0246863591713569,0,0.00670147572569643,0,0.0001453065969195,0.00167536893142411,0,-0.988084859052601,-0.749075591436991,-1.22709412666821,-0.92740084104565,-1.04876887705955,0.963000369709406,1.28772418564042,0.638276553778391,1.04544715551746,0.880553583901355
20000,0,0,0,0,0,0,0,0,-1.00141723356009,-0.791787350697191,-1.21104711642299,-0.948192587865991,-1.05464187925419,1.79161085235694,2.40836023894289,1.17486146577099,1.94820239901424,1.63501930569964
25000,0,0,0,0,0,0,0,0,-0.99743735763098,-0.785989879638227,-1.20888483562373,-0.943751227841766,-1.05112348742019,3.04566712877745,4.24303399550115,1.84830026205375,3.34967639681155,2.74165786074335
30000,0,0,0,0,0,0,0,0,-0.990122717749177,-0.746230839227363,-1.23401459627099,-0.928199013720388,-1.05204642177797,5.06536591434793,7.80686737532342,2.32386445337243,5.76142814525471,4.36930368344114
35000,0,0,0,0,0,0,0,0,-0.988179669030733,-0.756536317607227,-1.21982302045424,-0.929365843737641,-1.04699349432383,8.93888359722939,14.8776907856607,3.00007640879813,10.446735932655,7.43103126180375
40000,0,0,0,0,0,0,0,0,-0.988787252876955,-0.796266293401207,-1.1813082123527,-0.939906531689478,-1.03766797406443,14.4419406976767,24.9216847740652,3.96219662128825,17.1027286436177,11.7811527517358
45000,0,0,0,0,0,0,0,0,-0.99937984496124,-0.756619432682328,-1.24214025724015,-0.937743418152048,-1.06101627177043,20.3476890944695,36.1934628507738,4.50191533816523,24.3709022089841,16.324475979955
