time_step,score_mean,score_plus_std,score_minus_std, 0_mean, 0_plus_std, 0_minus_std,exit_rate_mean,exit_rate_plus_std,exit_rate_minus_std
0,-1.0037037037037,-0.775812701079278,-1.23159470632813,0,0,0,0,0,0
5000,-0.996146435452794,-0.76798328318694,-1.22430958771865,0,0,0,0,0,0
10000,-0.994818652849741,-0.79374762726908,-1.1958896784304,0,0,0,0,0,0
15000,-0.962882096069869,-0.673284690829902,-1.25247950130984,0,0,0,0,0,0
20000,-0.978540772532189,-0.701276990970883,-1.25580455409349,0,0,0,0,0,0
25000,-0.983480176211454,-0.746929712276036,-1.22003064014687,0,0,0,0,0,0
30000,-0.960927960927961,-0.654617607362597,-1.26723831449333,0,0,0,0,0,0
35000,-0.95260663507109,-0.656118160317456,-1.24909510982472,0,0,0,0,0,0
40000,-0.929032258064516,-0.609357087429781,-1.24870742869925,0,0,0,0,0,0
45000,-0.926729986431479,-0.580862654986306,-1.27259731787665,0,0,0,0,0,0
50000,-0.931972789115646,-0.617476003533675,-1.24646957469762,0,0,0,0,0,0
55000,-0.902332361516035,-0.538941461370107,-1.26572326166196,0,0,0,0,0,0
60000,-0.875576036866359,-0.466220710706244,-1.28493136302647,0,0,0,0,0,0
65000,-0.86084142394822,-0.434724125399519,-1.28695872249692,0,0,0,0,0,0
70000,-0.849087893864013,-0.443014814132749,-1.25516097359528,0.00165837479270315,0.0423815229114716,0,0.000414593698175788,0.0105953807278679,0
75000,-0.884792626728111,-0.491856055208153,-1.27772919824807,0,0,0,0,0,0
80000,-0.872964169381108,-0.460888681729624,-1.28503965703259,0,0,0,0,0,0
85000,-0.829113924050633,-0.36907137141696,-1.28915647668431,0,0,0,0,0,0
90000,-0.854026845637584,-0.460165684307667,-1.2478880069675,0,0,0,0,0,0
95000,-0.835616438356164,-0.412811993288746,-1.25842088342358,0,0,0,0,0,0
100000,-0.843853820598007,-0.429224785797594,-1.25848285539842,0,0,0,0,0,0
105000,-0.836206896551724,-0.413534145852334,-1.25887964725111,0,0,0,0,0,0
110000,-0.829565217391304,-0.351296360122343,-1.30783407466027,0,0,0,0,0,0
115000,-0.854864433811802,-0.44377093474008,-1.26595793288352,0,0,0,0,0,0
120000,-0.85146804835924,-0.449857423872649,-1.25307867284583,0,0,0,0,0,0
125000,-0.829145728643216,-0.361083780695306,-1.29720767659113,0.0016750418760469,0.0426023173295498,0,0.000418760469011725,0.0106505793323875,0
130000,-0.81216457960644,-0.349824263554411,-1.27450489565847,0,0,0,0,0,0
135000,-0.839350180505415,-0.391930077290026,-1.2867702837208,0,0,0,0,0,0
140000,-0.852348993288591,-0.397668920319379,-1.3070290662578,0.00167785234899329,0.0426394483749453,0,0.000419463087248322,0.0106598620937363,0
145000,-0.876823338735819,-0.45686938767349,-1.29677728979815,0,0,0,0,0,0
150000,-0.894736842105263,-0.528845189236855,-1.26062849497367,0,0,0,0,0,0
155000,-0.843697478991597,-0.382284290461848,-1.30511066752135,0,0,0,0,0,0
160000,-0.854545454545455,-0.425469749960703,-1.28362115913021,0,0,0,0,0,0
165000,-0.847154471544716,-0.436322868095274,-1.25798607499416,0,0,0,0,0,0
170000,-0.85472972972973,-0.436234405615052,-1.27322505384441,0,0,0,0,0,0
175000,-0.863481228668942,-0.464597105029658,-1.26236535230823,0,0,0,0,0,0
