time_step,score_mean,score_plus_std,score_minus_std, 0_mean, 0_plus_std, 0_minus_std,exit_rate_mean,exit_rate_minus_std,exit_rate_plus_std
0,-0.992592592592593,-0.773087455237308,-1.21209772994788,0,0,0,0,0,0
5000,-0.999009900990099,-0.787828388494308,-1.21019141348589,0,0,0,0,0,0
10000,-0.992746113989637,-0.745459547318616,-1.24003268066066,0,0,0,0,0,0
15000,-0.973684210526316,-0.736225054519909,-1.21114336653272,0,0,0,0,0,0
20000,-0.96127562642369,-0.693927973116087,-1.22862327973129,0,0,0,0,0,0
25000,-0.969318181818182,-0.745148392769657,-1.19348797086671,0,0,0,0,0,0
30000,-0.963953488372093,-0.674675638888211,-1.25323133785598,0,0,0,0,0,0
35000,-0.949350649350649,-0.624752918261558,-1.27394838043974,0,0,0,0,0,0
40000,-0.930989583333333,-0.609360646055886,-1.25261852061078,0,0,0,0,0,0
45000,-0.923984272608126,-0.577288039620879,-1.27068050559537,0,0,0,0,0,0
50000,-0.918169209431345,-0.592908665669269,-1.24342975319342,0,0,0,0,0,0
55000,-0.884671532846715,-0.538664546018342,-1,0,0,0,0,0,0
60000,-0.8910741301059,-0.509376690495032,-1.27277156971677,0,0,0,0,0,0
65000,-0.862459546925566,-0.473576215417784,-1.25134287843335,0,0,0,0,0,0
70000,-0.834130781499203,-0.398589912367988,-1.26967165063042,0,0,0,0,0,0
75000,-0.798198198198198,-0.333956651851742,-1.26243974454465,0,0,0,0,0,0
80000,-0.774080560420315,-0.264770066258311,-1.28339105458232,0,0,0,0,0,0
85000,-0.780357142857143,-0.313218920175449,-1.24749536553884,0,0,0,0,0,0
90000,-0.774074074074074,-0.285926925882426,-1.26222122226572,0,0,0,0,0,0
95000,-0.74904214559387,-0.223085342537771,-1.27499894864997,0,0,0,0,0,0
100000,-0.75047258979206,-0.237271144737986,-1.26367403484614,0,0,0,0,0,0
105000,-0.75,-0.231554123203174,-1.26844587679683,0,0,0,0,0,0
110000,-0.772639691714836,-0.297035049882228,-1.24824433354744,0,0,0,0,0,0
115000,-0.788104089219331,-0.30787318151635,-1.26833499692231,0,0,0,0,0,0
120000,-0.739130434782609,-0.224848820302097,-1.25341204926312,0,0,0,0,0,0
125000,-0.796545105566219,-0.352711757619,-1.24037845351344,0,0,0,0,0,0
130000,-0.742248062015504,-0.219523697128308,-1.2649724269027,0,0,0,0,0,0
135000,-0.746691871455577,-0.239066848090219,-1.25431689482093,0,0,0,0,0,0
140000,-0.73046875,-0.198138850117232,-1.26279864988277,0,0,0,0,0,0
145000,-0.713147410358566,-0.19080578590385,-1.23548903481328,0,0,0,0,0,0
150000,-0.738188976377953,-0.223744495427089,-1.25263345732882,0,0,0,0,0,0
155000,-0.727810650887574,-0.197247019974562,-1.25837428180059,0,0,0,0,0,0
160000,-0.761363636363636,-0.242402811150483,-1.28032446157679,0,0,0,0,0,0
165000,-0.717092337917485,-0.182351807968323,-1.25183286786665,0,0,0,0,0,0
170000,-0.690427698574338,-0.120886153291949,-1.25996924385673,0,0,0,0,0,0
175000,-0.757575757575758,-0.240376877881572,-1.27477463726994,0,0,0,0,0,0
180000,-0.766603415559772,-0.261322896186351,-1.27188393493319,0,0,0,0,0,0
185000,-0.766666666666667,-0.286749079329807,-1.24658425400353,0,0,0,0,0,0
190000,-0.767045454545455,-0.26971559957269,-1.26437530951822,0,0,0,0,0,0
195000,-0.763837638376384,-0.227244672937446,-1.30043060381532,0,0,0,0,0,0
200000,-0.747553816046967,-0.211712088115788,-1.28339554397815,0,0,0,0,0,0
205000,-0.769961977186312,-0.247758952921312,-1.29216500145131,0,0,0,0,0,0
210000,-0.793795620437956,-0.274164713054977,-1.31342652782094,0.00182481751824818,0.0445427004040862,0,0.000456204379562044,0.0111356751010216,0
215000,-0.747126436781609,-0.235044596410039,-1.25920827715318,0,0,0,0,0,0
220000,-0.735632183908046,-0.168595841351534,-1.30266852646456,0.00191570881226054,0.0456845197655014,0,0.000478927203065134,0.0114211299413753,0
225000,-0.750936329588015,-0.21713595822827,-1.28473670094776,0,0,0,0,0,0
230000,-0.69980879541109,-0.142946380795611,-1.25667121002657,0.00191204588910134,0.045638992833764,0,0.000478011472275335,0.011409748208441,0
235000,-0.694164989939638,-0.141471660622353,-1.24685831925692,0,0,0,0,0,0
240000,-0.652719665271967,-0.0446821918820212,-1.26075713866191,0.00209205020920502,0.0478309855838398,0,0.000523012552301255,0.01195774639596,0
245000,-0.641975308641975,-0.0574608767939975,-1.22648974048995,0,0,0,0,0,0
250000,-0.663066954643629,-0.0867702895858449,-1.23936361970141,0,0,0,0,0,0
255000,-0.549199084668192,0.114734528957382,-1.21313269829377,0.0022883295194508,0.0501248168429448,0,0.0005720823798627,0.0125312042107362,0
260000,-0.5,0.168057419680714,-1.16805741968071,0,0,0,0,0,0
265000,-0.54233409610984,0.132350368403676,-1.21701856062336,0,0,0,0,0,0
270000,-0.451923076923077,0.261187302573457,-1.16503345641961,0,0,0,0,0,0
275000,-0.478468899521531,0.245075235509219,-1.20201303455228,0,0,0,0,0,0
280000,-0.431034482758621,0.308616695483306,-1.17068566100055,0,0,0,0,0,0
285000,-0.470443349753695,0.20568455142931,-1.1465712509367,0,0,0,0,0,0
290000,-0.319261213720317,0.408803178781618,-1.04732560622225,0,0,0,0,0,0
295000,-0.334210526315789,0.356006186923285,-1.02442723955486,0.00263157894736842,0.0539304965516261,0,0.000657894736842105,0.0134826241379065,0
300000,-0.210982658959538,0.460589724603905,-0.88255504252298,0,0,0,0,0,0
305000,-0.178885630498534,0.494315625441169,-0.852086886438236,0,0,0,0,0,0
310000,-0.0516129032258065,0.584857424050235,-0.688083230501848,0,0,0,0,0,0
315000,-0.116883116883117,0.464567970828763,-0.698334204594997,0,0,0,0,0,0
320000,-0.194267515923567,0.396258543830042,-0.784793575677176,0,0,0,0,0,0
325000,-0.108974358974359,0.486547168777296,-0.704495886726013,0,0,0,0,0,0
330000,-0.162162162162162,0.534739853480898,-0.859064177805222,0.00600600600600601,0.0833876293184556,0,0.0015015015015015,0.0208469073296139,0
335000,-0.210682492581602,0.457563129468409,-0.878928114631614,0.0029673590504451,0.0574408301207294,0,0.000741839762611276,0.0143602075301824,0
340000,-0.0778816199376947,0.60001254469449,-0.75577578456988,0,0,0,0,0,0
345000,-0.168168168168168,0.527304676491047,-0.863641012827384,0,0,0,0,0,0
350000,-0.236111111111111,0.544807845368555,-1.01703006759078,0.00277777777777778,0.0554824054472508,0,0.000694444444444445,0.0138706013618127,0
355000,0.0294117647058824,0.71828181625894,-0.659458286847175,0,0,0,0,0,0
360000,-0.03125,0.667354744717421,-0.729854744717421,0,0,0,0,0,0
365000,-0.27807486631016,0.456151968747199,-1.01230170136752,0.00802139037433155,0.0973431695677407,0,0.00200534759358289,0.0243357923919352,0
370000,-0.201149425287356,0.526880445980219,-0.929179296554931,0,0,0,0,0,0
375000,-0.0279503105590062,0.726575901296387,-0.7824765224144,0.0062111801242236,0.0848993663622583,0,0.0015527950310559,0.0212248415905646,0
380000,0.0573248407643312,0.813488338953964,-0.698838657425302,0,0,0,0,0,0
385000,-0.0703363914373089,0.679678461170107,-0.820351244044725,0,0,0,0,0,0
390000,-0.0415335463258786,0.697618913351202,-0.780686006002959,0,0,0,0,0,0
395000,0.0576923076923077,0.807743835314609,-0.692359219929994,0,0,0,0,0,0
400000,0.163398692810458,0.996780240756716,-0.669982855135801,0,0,0,0,0,0
405000,0.104294478527607,0.946368817891759,-0.737779860836545,0.00613496932515337,0.084340419879834,0,0.00153374233128834,0.0210851049699585,0
410000,0.213166144200627,1.040195195036,-0.613862906634742,0,0,0,0,0,0
415000,0.184713375796178,0.994570035309389,-0.625143283717033,0,0,0,0,0,0
420000,0.294871794871795,1.11045908030882,-0.520715490565235,0,0,0,0,0,0
425000,0.376205787781351,1.21283482036386,-0.460423244801157,0,0,0,0,0,0
430000,0.275229357798165,1.19739897509308,-0.646940259496754,0,0,0,0,0,0
435000,0.459546925566343,1.3250929520301,-0.405999100897418,0.00323624595469256,0.06012425835355,0,0.000809061488673139,0.0150310645883875,0
440000,0.439344262295082,1.26477849580904,-0.386089971218875,0.00983606557377049,0.108686228022035,0,0.00245901639344262,0.0271715570055088,0
445000,0.488448844884489,1.2893373642102,-0.312439674441225,0.0099009900990099,0.109074679292039,0,0.00247524752475248,0.0272686698230097,0
450000,0.42671009771987,1.29950325726121,-0.446083061821466,0,0,0,0,0,0
455000,0.425170068027211,1.23013279265674,-0.379792656602321,0,0,0,0,0,0
460000,0.37953795379538,1.21610523675532,-0.457029329164562,0.0066006600660066,0.0877104842288157,0,0.00165016501650165,0.0219276210572039,0
465000,0.416382252559727,1.22133559330678,-0.388571088187325,0.0068259385665529,0.0893035844144592,0,0.00170648464163823,0.0223258961036148,0
470000,0.463414634146342,1.25091722301663,-0.324087954723943,0.0104529616724739,0.11233457943741,0,0.00261324041811847,0.0280836448593526,0
475000,0.465277777777778,1.26085084666366,-0.330295291108109,0.0173611111111111,0.148201259405623,0,0.00434027777777778,0.0370503148514057,0
480000,0.477508650519031,1.29846635308602,-0.343449052047962,0.027681660899654,0.192025333588284,0,0.0069204152249135,0.0480063333970709,0
485000,0.437931034482759,1.26016269814095,-0.384300629175428,0.0275862068965517,0.191653354354036,0,0.00689655172413793,0.0479133385885091,0
490000,0.519713261648746,1.30547133180997,-0.266044808512482,0.021505376344086,0.166827738696781,0,0.00537634408602151,0.0417069346741952,0
495000,0.453900709219858,1.27597323379288,-0.368171815353162,0.0354609929078014,0.220731690993379,0,0.00886524822695036,0.0551829227483449,0
500000,0.445229681978799,1.24394553979508,-0.353486175837486,0.0353356890459364,0.220289613819517,0,0.0088339222614841,0.0550724034548792,0
505000,0.375,1.12185721454956,-0.371857214549562,0.0214285714285714,0.166495958704273,0,0.00535714285714286,0.0416239896760683,0
510000,0.301038062283737,1.06663897138616,-0.464562846818685,0.0069204152249135,0.0899648973136263,0,0.00173010380622837,0.0224912243284066,0
515000,0.357894736842105,1.14398583476445,-0.428196361080244,0.0140350877192982,0.131877481408634,0,0.00350877192982456,0.0329693703521585,0
520000,0.390845070422535,1.17859625798697,-0.396906117141903,0.0176056338028169,0.149350807992279,0,0.00440140845070423,0.0373377019980697,0
525000,0.466666666666667,1.28660597508136,-0.353272641748028,0.0245614035087719,0.179617846837456,0,0.00614035087719298,0.0449044617093641,0
530000,0.464028776978417,1.22199557985249,-0.293938025895659,0.0107913669064748,0.114297168192827,0,0.00269784172661871,0.0285742920482068,0
535000,0.378947368421053,1.12735808879797,-0.369463351955863,0.00701754385964912,0.0906407116911268,0,0.00175438596491228,0.0226601779227817,0
540000,0.487364620938628,1.23725779249294,-0.262528550615685,0.0216606498194946,0.167497019573594,0,0.00541516245487365,0.0418742548933986,0
545000,0.385159010600707,1.1217836391737,-0.351465617972282,0.00706713780918728,0.0909842221056181,0,0.00176678445229682,0.0227460555264045,0
550000,0.439285714285714,1.21750133970827,-0.33892991113684,0.0178571428571429,0.150526379954875,0,0.00446428571428571,0.0376315949887187,0
555000,0.362989323843416,1.08749676481864,-0.361518117131809,0.00711743772241993,0.0913315594715822,0,0.00177935943060498,0.0228328898678955,0
560000,0.395017793594306,1.09998239481055,-0.309946807621933,0.00711743772241993,0.0913315594715822,0,0.00177935943060498,0.0228328898678955,0
565000,0.407142857142857,1.08865949359075,-0.274373779305035,0.00714285714285714,0.0915066853179245,0,0.00178571428571429,0.0228766713294811,0
570000,0.269102990033223,1.09211100499482,-0.553905024928376,0,0,0,0,0,0
575000,0.36551724137931,1.12170320103742,-0.390668718278801,0.00344827586206897,0.0621702978135393,0,0.000862068965517241,0.0155425744533848,0
580000,0.346153846153846,1.0488573204156,-0.356549628107909,0,0,0,0,0,0
585000,0.318181818181818,1.02911264992842,-0.392749013564781,0,0,0,0,0,0
590000,0.332191780821918,1.07549498069565,-0.411111419051809,0.00342465753424658,0.0619452311323119,0,0.000856164383561644,0.015486307783078,0
595000,0.336805555555556,1.07484576368734,-0.401234652576225,0.00347222222222222,0.0623977873211012,0,0.000868055555555556,0.0155994468302753,0
600000,0.256140350877193,0.959006100449906,-0.44672539869552,0,0,0,0,0,0
605000,0.36101083032491,1.03640367619988,-0.31438201555006,0.0108303249097473,0.1145214252726,0,0.00270758122743682,0.0286303563181501,0
610000,0.26962457337884,1.01836703212622,-0.479117885368537,0.00341296928327645,0.061833593066975,0,0.000853242320819113,0.0154583982667438,0
615000,0.26027397260274,1,-0.500037001219648,0.00342465753424658,0.0619452311323119,0,0.000856164383561644,0.015486307783078,0
620000,0.277580071174377,1.01521324183481,-0.460053099486058,0.00711743772241993,0.0913315594715822,0,0.00177935943060498,0.0228328898678955,0
625000,0.318339100346021,1.06998729572181,-0.433309095029773,0.0069204152249135,0.0899648973136263,0,0.00173010380622837,0.0224912243284066,0
630000,0.240802675585284,1.0322464488044,-0.550641097633833,0,0,0,0,0,0
635000,0.328719723183391,1.05942435432904,-0.401984907962259,0.0069204152249135,0.0899648973136263,0,0.00173010380622837,0.0224912243284066,0
640000,0.30952380952381,1.11232040040183,-0.49327278135421,0.0170068027210884,0.146523704860976,0,0.00425170068027211,0.0366309262152439,0
645000,0.320557491289199,1.08357668470137,-0.442461702122974,0.00696864111498258,0.0903009591972138,0,0.00174216027874564,0.0225752397993034,0
650000,0.282312925170068,1.07813826833838,-0.513512417998241,0.0136054421768707,0.129649129244137,0,0.00340136054421769,0.0324122823110342,0
655000,0.27972027972028,1.01390410301953,-0.454463543578972,0.0104895104895105,0.112547826611148,0,0.00262237762237762,0.028136956652787,0
660000,0.245847176079734,1.01571146925116,-0.524017117091687,0.00996677740863787,0.109467190603326,0,0.00249169435215947,0.0273667976508314,0
665000,0.177257525083612,0.974916329138624,-0.6204012789714,0.0100334448160535,0.109863832275189,0,0.00250836120401338,0.0274659580687972,0
670000,0.226027397260274,1.00611064196088,-0.554055847440327,0.0102739726027397,0.111285660575906,0,0.00256849315068493,0.0278214151439764,0
675000,0.307142857142857,1.02950882810643,-0.415223113820715,0.00714285714285714,0.0915066853179245,0,0.00178571428571429,0.0228766713294811,0
680000,0.28158844765343,0.983645727520169,-0.42046883221331,0.0072202166064982,0.0920380001274214,0,0.00180505415162455,0.0230095000318554,0
685000,0.305841924398625,1.09319906793494,-0.481515219137688,0.0240549828178694,0.177538837076841,0,0.00601374570446735,0.0443847092692104,0
690000,0.245674740484429,0.994648792071011,-0.503299311102152,0.0103806228373702,0.11191157958839,0,0.00259515570934256,0.0279778948970974,0
695000,0.341463414634146,1.09995055759337,-0.417023728325082,0.0104529616724739,0.11233457943741,0,0.00261324041811847,0.0280836448593526,0
700000,0.397849462365591,1.12955366626571,-0.333854741534527,0.017921146953405,0.150824452871127,0,0.00448028673835125,0.0377061132177818,0
705000,0.364583333333333,1.14034585581634,-0.411179189149674,0.0173611111111111,0.148201259405623,0,0.00434027777777778,0.0370503148514057,0
710000,0.341637010676157,1.11900171405153,-0.435727692699221,0.0213523131672598,0.166166062033524,0,0.00533807829181495,0.0415415155083811,0
715000,0.365248226950355,1.13703598524797,-0.406539531347259,0.0283687943262411,0.194688060745292,0,0.00709219858156028,0.0486720151863229,0
720000,0.355400696864112,1.14375369569696,-0.432952301968736,0.0174216027874564,0.148486258615076,0,0.00435540069686411,0.0371215646537689,0
725000,0.216666666666667,1.01154295679673,-0.578209623463392,0.0166666666666667,0.144899662523076,0,0.00416666666666667,0.036224915630769,0
730000,0.357388316151203,1.12039420287382,-0.405617570571411,0.0206185567010309,0.162966947433475,0,0.00515463917525773,0.0407417368583688,0
735000,0.36,1.06803521707125,-0.348035217071255,0.0218181818181818,0.168174048848514,0,0.00545454545454546,0.0420435122121286,0
740000,0.286206896551724,1.05146648700631,-0.479052693902863,0.0172413793103448,0.147635950909738,0,0.00431034482758621,0.0369089877274344,0
745000,0.298245614035088,1.06196778811388,-0.465476560043706,0.0175438596491228,0.149061018356063,0,0.0043859649122807,0.0372652545890157,0
750000,0.194630872483221,0.991745638892797,-0.602483893926354,0.0201342281879195,0.160829885965321,0,0.00503355704697987,0.0402074714913303,0
755000,0.231034482758621,1.03655327076916,-0.574484305251918,0.0275862068965517,0.191653354354036,0,0.00689655172413793,0.0479133385885091,0
760000,0.245674740484429,1.06122902844856,-0.569879547479705,0.0173010380622837,0.147917828204188,0,0.00432525951557094,0.036979457051047,0
765000,0.253571428571429,0.984350039637884,-0.477207182495026,0.00357142857142857,0.0633328590381482,0,0.000892857142857143,0.0158332147595371,0
770000,0.0945945945945946,0.852270235922867,-0.663081046733677,0.0202702702702703,0.161432256539182,0,0.00506756756756757,0.0403580641347954,0
775000,0.230240549828179,1.00833256451253,-0.547851464856176,0.0240549828178694,0.177538837076841,0,0.00601374570446735,0.0443847092692104,0
780000,0.223728813559322,1.00886691031025,-0.56140928319161,0.0474576271186441,0.260434528714563,0,0.011864406779661,0.0651086321786408,0
785000,0.236111111111111,0.991912009538909,-0.519689787316687,0.0347222222222222,0.218116257152495,0,0.00868055555555556,0.0545290642881238,0
790000,0.352727272727273,1.09455735967651,-0.389102814221969,0.0218181818181818,0.168174048848514,0,0.00545454545454546,0.0420435122121286,0
795000,0.285211267605634,1.05085584310112,-0.480433307889855,0.028169014084507,0.193916575209287,0,0.00704225352112676,0.0484791438023216,0
800000,0.252631578947368,1.01210351909559,-0.506840361200849,0.0315789473684211,0.206762849469117,0,0.00789473684210526,0.0516907123672792,0
805000,0.212328767123288,1.02637136341995,-0.601713829173378,0.0547945205479452,0.282763949914881,0,0.0136986301369863,0.0706909874787202,0
810000,0.216783216783217,0.994903850914709,-0.561337417348275,0.048951048951049,0.26509496879756,0,0.0122377622377622,0.0662737421993901,0
815000,0.222222222222222,0.991351731028313,-0.546907286583869,0.0208333333333333,0.163908080494603,0,0.00520833333333333,0.0409770201236508,0
820000,0.231316725978648,0.917830727530244,-0.455197275572949,0.0249110320284698,0.181043104964456,0,0.00622775800711744,0.0452607762411141,0
825000,0.269784172661871,0.997686522229939,-0.458118176906198,0.0251798561151079,0.182133492802167,0,0.00629496402877698,0.0455333732005417,0
830000,0.204225352112676,0.877162402753609,-0.468711698528257,0.0140845070422535,0.132131960694971,0,0.00352112676056338,0.0330329901737427,0
835000,0.28673835125448,1.02388463736126,-0.450407934852296,0.017921146953405,0.150824452871127,0,0.00448028673835125,0.0377061132177818,0
840000,0.250871080139373,0.979739544655647,-0.477997384376902,0.0139372822299652,0.13137274093737,0,0.00348432055749129,0.0328431852343426,0
845000,0.197231833910035,0.942023437563011,-0.547559769742942,0.0207612456747405,0.163592640619186,0,0.00519031141868512,0.0408981601547966,0
850000,0.341726618705036,1.02820239656243,-0.344749159152359,0.00719424460431655,0.0918598964481127,0,0.00179856115107914,0.0229649741120282,0
855000,0.297491039426523,1.00791761036064,-0.412935531507591,0.014336917562724,0.133425970900958,0,0.003584229390681,0.0333564927252396,0
860000,0.224913494809689,0.961790875206772,-0.511963885587395,0.0069204152249135,0.0899648973136263,0,0.00173010380622837,0.0224912243284066,0
865000,0.267605633802817,0.980093862782482,-0.444882595176848,0.0140845070422535,0.132131960694971,0,0.00352112676056338,0.0330329901737427,0
870000,0.224913494809689,0.980404098006477,-0.530577108387099,0.013840830449827,0.130873540119565,0,0.00346020761245675,0.0327183850298914,0
875000,0.203448275862069,0.906866897190029,-0.499970345465891,0,0,0,0,0,0
880000,0.284172661870504,1.01153960533251,-0.443194281591505,0.0323741007194245,0.209684869261228,0,0.00809352517985612,0.0524212173153071,0
885000,0.195121951219512,0.907335998197149,-0.517092095758125,0.0174216027874564,0.148486258615076,0,0.00435540069686411,0.0371215646537689,0
890000,0.197916666666667,0.939228128150184,-0.543394794816851,0.0173611111111111,0.148201259405623,0,0.00434027777777778,0.0370503148514057,0
895000,0.183391003460208,0.917671350354667,-0.550889343434252,0.0069204152249135,0.0899648973136263,0,0.00173010380622837,0.0224912243284066,0
900000,0.135135135135135,0.891116021348973,-0.620845751078703,0.0135135135135135,0.12916855210829,0,0.00337837837837838,0.0322921380270724,0
905000,0.117056856187291,0.842673950733351,-0.608560238358769,0.00668896321070234,0.0883377049366562,0,0.00167224080267559,0.0220844262341641,0
910000,0.243727598566308,0.926049394674429,-0.438594197541813,0.003584229390681,0.0634526633996059,0,0.000896057347670251,0.0158631658499015,0
915000,0.193661971830986,0.845781624049988,-0.458457680388016,0.0105633802816901,0.112977868600036,0,0.00264084507042254,0.028244467150009,0
920000,0.317343173431734,0.963438244651967,-0.328751897788498,0.00738007380073801,0.0931281944452665,0,0.0018450184501845,0.0232820486113166,0
925000,0.143356643356643,0.856940082760052,-0.570226796046766,0.013986013986014,0.131624412420204,0,0.0034965034965035,0.032906103105051,0
930000,0.223826714801444,0.85548757960495,-0.407834150002062,0.0216606498194946,0.167497019573594,0,0.00541516245487365,0.0418742548933986,0
935000,0.226148409893993,0.968787230326046,-0.51649041053806,0.0247349823321555,0.180326454181748,0,0.00618374558303887,0.0450816135454369,0
940000,0.26056338028169,0.940197219182716,-0.419070458619336,0.0105633802816901,0.112977868600036,0,0.00264084507042254,0.028244467150009,0
945000,0.215753424657534,0.960511819131497,-0.529004969816428,0.0171232876712329,0.147076802511712,0,0.00428082191780822,0.036769200627928,0
950000,0.377224199288256,1.11404709639313,-0.359598697816616,0.0142348754448399,0.132903990728542,0,0.00355871886120996,0.0332259976821355,0
955000,0.400709219858156,1.15933660497687,-0.357918165260558,0.024822695035461,0.180683764829712,0,0.00620567375886525,0.0451709412074281,0
960000,0.377622377622378,1.13438552909535,-0.379140773850598,0.020979020979021,0.164544225605313,0,0.00524475524475525,0.0411360564013282,0
965000,0.379432624113475,1.15357135854151,-0.394706110314563,0.0212765957446809,0.165838031237644,0,0.00531914893617021,0.041459507809411,0
970000,0.37410071942446,1.11265605913772,-0.364454620288804,0.0107913669064748,0.114297168192827,0,0.00269784172661871,0.0285742920482068,0
975000,0.382671480144404,1.12827896300336,-0.362936002714549,0.0072202166064982,0.0920380001274214,0,0.00180505415162455,0.0230095000318553,0
980000,0.340501792114695,1.10068997818061,-0.41968639395122,0.00716845878136201,0.0916827945972901,0,0.0017921146953405,0.0229206986493225,0
985000,0.274914089347079,1.04952605639281,-0.499697877698655,0.0103092783505155,0.111493169751927,0,0.00257731958762887,0.0278732924379817,0
990000,0.286689419795222,1.10161459649585,-0.528235756905408,0.0068259385665529,0.0893035844144592,0,0.00170648464163823,0.0223258961036148,0
995000,0.342857142857143,1.0787415479473,-0.393027262233011,0,0,0,0,0,0
1000000,0.36231884057971,1.11630609081081,-0.39166840965139,0.0072463768115942,0.0923720298874691,0,0.00181159420289855,0.0230930074718673,0
