time_step,in_elevator_mean,in_elevator_plus_std,in_elevator_minus_std,in_elevator_plus95,in_elevator_minus95,exit_rate_mean,exit_rate_plus95,exit_rate_minus95,score_mean,score_plus_std,score_minus_std,score_plus95,score_minus95,initial_value_mean,initial_value_plus_std,initial_value_minus_std,initial_value_plus95,initial_value_minus95
0,0,0,0,0,0,0,0,0,-0.992784992784993,-0.810617864398362,-1.17495212117162,-0.915390757140689,-1.0701792284293,-0.0323340917941153,0.0233000645654116,-0.0879682481536423,-0.00869775825087199,-0.0559704253373587
5000,0,0,0,0,0,0,0,0,-1.00455580865604,-0.777287330070221,-1.23182428724185,-0.908000132876477,-1.1011114844356,-0.133043539542747,-0.0997820693844355,-0.166305009701059,-0.11891230696469,-0.147174772120805
10000,0,0,0,0,0,0,0,0,-0.986743993371997,-0.746187866186136,-1.22730012055786,-0.884543021341579,-1.08894496540241,-0.175549677837804,-0.157961800151204,-0.193137555524403,-0.168077416721238,-0.183021938954369
15000,0,0,0,0,0,0,0,0,-0.981818181818182,-0.720807312275893,-1.24282905136047,-0.870926952857233,-1.09270941077913,-0.186425696139212,-0.171988754091947,-0.200862638186477,-0.180292119216279,-0.192559273062145
20000,0,0,0,0,0,0,0,0,-0.974404236540159,-0.736150647177424,-1.21265782590289,-0.873181504417464,-1.07562696866285,-0.184401480975871,-0.170233439854038,-0.198569522097703,-0.178382147395149,-0.190420814556592
25000,0,0,0,0,0,0,0,0,-0.968503937007874,-0.730175436044337,-1.20683243797141,-0.867249378473156,-1.06975849554259,-0.176540467930487,-0.162285340647807,-0.190795595213166,-0.17048413554041,-0.182596800320564
30000,0,0,0,0,0,0,0,0,-0.96780303030303,-0.680793109193231,-1.25481295141283,-0.845866028477541,-1.08974003212852,-0.164700678916592,-0.15125878583002,-0.178142572003163,-0.158989851445899,-0.170411506387285
35000,0,0,0,0,0,0,0,0,-0.972354623450906,-0.688908201490405,-1.25580104541141,-0.85193158462918,-1.09277766227263,-0.153749332009496,-0.140534728603276,-0.166963935415716,-0.148135069222214,-0.159363594796778
40000,0,0,0,0,0,0,0,0,-0.947633434038268,-0.651017883453373,-1.24424898462316,-0.821615452522911,-1.07365141555362,-0.144753364105179,-0.132493050814528,-0.15701367739583,-0.139544534255944,-0.149962193954414
45000,0,0,0,0,0,0,0,0,-0.928342245989305,-0.621045316156145,-1.23563917582246,-0.797786249356359,-1.05889824262225,-0.136984601895758,-0.124823051884029,-0.149146151907487,-0.13181773191354,-0.142151471877976
50000,0,0,0,0,0,0,0,0,-0.903890160183066,-0.542641889271771,-1.26513843109436,-0.750412778985802,-1.05736754138033,-0.129097879930342,-0.11891709949704,-0.139278660363644,-0.124772545678898,-0.133423214181786
55000,0,0,0,0,0,0,0,0,-0.911494252873563,-0.561934185004484,-1.26105432074264,-0.76298263881837,-1.06000586692876,-0.120601120771005,-0.112027777647286,-0.129174463894725,-0.116958710947383,-0.124243530594628
60000,0,0,0,0,0,0,0,0,-0.867684478371501,-0.476313890230342,-1.25905506651266,-0.701409542870737,-1.03395941387227,-0.114933535437699,-0.105116940884046,-0.124750129991352,-0.11076292661909,-0.119104144256308
65000,0,0,0,0,0,0,0,0,-0.865110246433204,-0.480383212775128,-1.24983728009128,-0.701657844425356,-1.02856264844105,-0.109876175499225,-0.100248729813752,-0.119503621184699,-0.105785927128768,-0.113966423869682
70000,0,0,0,0,0,0,0,0,-0.846870838881491,-0.45124450596726,-1.24249717179572,-0.678787837805307,-1.01495383995768,-0.103107224718312,-0.0937064435944332,-0.11250800584219,-0.0991132754477398,-0.107101173988884
75000,0,0,0,0,0,0,0,0,-0.828767123287671,-0.420357765435084,-1.23717648114026,-0.655253216794641,-1.0022810297807,-0.0983033422023466,-0.0895800259731852,-0.107026658431508,-0.0945972158675965,-0.102009468537097
80000,0,0,0,0,0,0,0,0,-0.842032967032967,-0.455118762864125,-1.22894717120181,-0.677651339256432,-1.0064145948095,-0.0935564547071008,-0.0846780805928713,-0.10243482882133,-0.0897844515777734,-0.0973284578364282
85000,0,0,0,0,0,0,0,0,-0.79185520361991,-0.346543916827926,-1.23716649041189,-0.602663405021102,-0.981047002218717,-0.0890614490276189,-0.0803228793843857,-0.097800018670852,-0.0853488422354256,-0.0927740558198121
90000,0,0,0,0,0,0,0,0,-0.795252225519288,-0.352807297537653,-1.23769715350092,-0.60727820781857,-0.983226243220006,-0.0855295034926882,-0.0750280007939557,-0.0960310061914207,-0.0810679094516382,-0.0899910975337383
95000,0,0,0,0,0,0,0,0,-0.789634146341463,-0.352835395897396,-1.22643289678553,-0.604058923630282,-0.975209369052645,-0.0813876085619374,-0.0697565227315774,-0.0930186943922974,-0.0764461078338617,-0.0863291092900131
100000,0,0,0,0,0,0,0,0,-0.750394944707741,-0.268832348937171,-1.23195754047831,-0.545801671790534,-0.954988217624948,-0.0788832166442562,-0.0641995477523497,-0.0935668855361628,-0.0726448171019898,-0.0851216161865226
105000,0,0,0,0,0,0,0,0,-0.738019169329074,-0.262986296748713,-1.21305204190943,-0.536200068348104,-0.939838270310043,-0.0757319917337011,-0.0594207765094458,-0.0920432069579564,-0.0688021243866589,-0.0826618590807433
