time_step,in_elevator_mean,in_elevator_plus_std,in_elevator_minus_std,in_elevator_plus95,in_elevator_minus95,exit_rate_mean,exit_rate_plus95,exit_rate_minus95,score_mean,score_plus_std,score_minus_std,score_plus95,score_minus95,initial_value_mean,initial_value_plus_std,initial_value_minus_std,initial_value_plus95,initial_value_minus95
0,0,0,0,0,0,0,0,0,-0.981934112646121,-0.779048336389061,-1.18481988890318,-0.909084677917257,-1.05478354737499,0.233888593156932,0.376522394973952,0.0912547913399121,0.285103577407151,0.182673608906713
5000,0,0,0,0,0,0,0,0,-1.01132852729145,-0.796294925326485,-1.22636212925642,-0.934117218347786,-1.08853983623512,0.820064741910947,1.46163124752218,0.178498236299708,1.05042962079498,0.58969986302691
10000,0,0,0,0,0,0,0,0,-1.00463917525773,-0.800304701123807,-1.20897364939166,-0.931269562015768,-1.0780087884997,4.40451695574928,6.81728172793397,1.99175218356458,5.27085935308259,3.53817455841596
15000,0,0,0,0,0,0,0,0,-1.00682414698163,-0.808470516155279,-1.20517777780798,-0.935602052714117,-1.07804624124914,14.127709141929,21.3828963712214,6.87252191263657,16.7328020087467,11.5226162751114
20000,0.0005175983436853,0.0232683861033499,0,0.00868663837450538,0,0.000129399585921325,0.00217165959362635,0,-1.01190476190476,-0.779022443448186,-1.24478708036134,-0.928284581274585,-1.09552494253494,36.5716107888745,62.0467712403544,11.0964503373946,45.7188811040002,27.4243404737488
25000,0,0,0,0,0,0,0,0,-1.00952858575727,-0.803231632433591,-1.21582553908095,-0.935454312473197,-1.08360285904135,79.824921069437,139.386954656929,21.3616600036621,101.211637073879,58.4382050649953
30000,0,0,0,0,0,0,0,0,-1.01311806256307,-0.800375425159349,-1.22586069996679,-0.936729361671822,-1.08950676345431,157.793415031087,276.144246820377,43.7956314086914,200.289204310157,115.297625752016
35000,0,0,0,0,0,0,0,0,-1.01303911735206,-0.813113161478802,-1.21296507322531,-0.941252454227181,-1.08482578047693,391.884587826437,814.732372533412,87.9814758300781,543.714955930834,240.054219722041
40000,0,0,0,0,0,0,0,0,-1.00569063631661,-0.808745274164699,-1.20263599846851,-0.934974203800117,-1.0764070688331,678.252646527633,1369.96271093681,153.390594482422,926.622384998746,429.882908056521
45000,0,0,0,0,0,0,0,0,-1.00408788962698,-0.796896997232801,-1.21127878202116,-0.929692632993707,-1.07848314626025,1029.56525809045,1963.3585947698,247.216644287109,1364.85892916811,694.271587012788
50000,0,0,0,0,0,0,0,0,-1.01046572475144,-0.784193075536587,-1.23673837396629,-0.92921885326539,-1.09171259623749,1592.18926741651,2944.17063621072,387.4853515625,2077.64014671238,1106.73838812065
55000,0,0,0,0,0,0,0,0,-1.01768569984841,-0.816098217859838,-1.21927318183698,-0.945302438773095,-1.09006896092372,2406.50597922473,4537.09043806623,590.709533691406,3171.52694980302,1641.48500864644
60000,0,0,0,0,0,0,0,0,-1.00647410358566,-0.786726732380306,-1.22622147479101,-0.927570239200504,-1.08537796797081,3106.8863211096,6076.28410430012,740.904174804688,4173.09684597406,2040.67579624515
65000,0,0,0,0,0,0,0,0,-1.01411192214112,-0.808789895808042,-1.2194339484742,-0.940387712234959,-1.08783613204728,3693.94096822251,7203.93619320553,866.384033203125,4954.26178892434,2433.62014752069
70000,0,0,0,0,0,0,0,0,-1.01185958254269,-0.799852304103336,-1.22386686098205,-0.935734924236715,-1.08798424084867,4438.26714213478,8827.4965755713,984.725463867188,6014.29129237393,2862.24299189563
75000,0,0,0,0,0,0,0,0,-1.01177578897786,-0.826673726707055,-1.19687785124867,-0.945311885729711,-1.07823969222601,5459.82411789681,11201.6648366422,1101.08276367188,7521.52532919215,3398.12290660147
80000,0,0,0,0,0,0,0,0,-1.02295081967213,-0.806613183685756,-1.23928845565851,-0.945271276123361,-1.1006303632209,6200.71841706537,13334.2170929385,1160.72155761719,8762.11703141685,3639.3198027139
85000,0,0,0,0,0,0,0,0,-1.0234337637494,-0.807056738577729,-1.23981078892108,-0.945740076873602,-1.1011274506252,7096.38693457685,15160.7562245487,1225.03198242188,9992.02976897105,4200.74410018265
90000,0,0,0,0,0,0,0,0,-1.01765267175573,-0.814636217404142,-1.22066912610731,-0.944756314933587,-1.09054902857786,7564.47024064392,15490.4544281735,1356.275390625,10410.4236553371,4718.51682595077
95000,0,0,0,0,0,0,0,0,-1.00239923224568,-0.791114153586244,-1.21368431090512,-0.926533891505965,-1.0782645729854,7753.13469603789,15402.9723405079,1353.76123046875,10499.9332072412,5006.33618483455
100000,0,0,0,0,0,0,0,0,-1.01429230059935,-0.80545067612031,-1.2231339250784,-0.939304321787672,-1.08928027941104,7847.75729416548,14778.9871277525,1341.24536132813,10336.5279939552,5358.9865943758
105000,0,0,0,0,0,0,0,0,-1.01792279411765,-0.801047374579771,-1.23479821365552,-0.940050150646073,-1.09579543758922,8021.57065189586,14901.7779875277,1289.12768554688,10492.0208947119,5551.12040907985
110000,0,0,0,0,0,0,0,0,-1.02038103677448,-0.806643534227906,-1.23411853932105,-0.943635113387772,-1.09712696016119,8286.63117653066,15452.2061579157,1255.34814453125,10859.5473095956,5713.71504346573
115000,0,0,0,0,0,0,0,0,-1.01556939501779,-0.806246125761274,-1.22489266427431,-0.94040847382234,-1.09073031621325,8493.35501500466,16043.7400810393,1188.95471191406,11204.4434618801,5782.26656812918
120000,0,0,0,0,0,0,0,0,-1.01547987616099,-0.806756190061163,-1.22420356226082,-0.940534245040789,-1.09042550728119,8699.60260741324,16771.6615863874,1158.74096679688,11598.0065495962,5801.19866523023
125000,0.000427533133817871,0.0211044075063595,0,0.00785190086322878,0,0.000106883283454468,0.00196297521580719,0,-1.02522445489525,-0.782704397466136,-1.26774451232437,-0.938143687479908,-1.1123052223106,9213.64371052416,18197.9433450696,1106.751953125,12439.6024834157,5987.68493763259
130000,0,0,0,0,0,0,0,0,-1.01410859341599,-0.794716774819061,-1.23350041201292,-0.935332395972392,-1.09288479085959,9273.87763693273,18932.3780106981,1005.04833984375,12741.9191405709,5805.83613329456
135000,0.000434216239687364,0.0212720721679581,0,0.00791638701252985,0,0.000108554059921841,0.00197909675313246,0,-1.01693443334781,-0.799993817712609,-1.23387504898301,-0.939038380158095,-1.09483048653752,9321.43833747761,19851.9458274647,902.672119140625,13102.5881657517,5540.28850920356
140000,0,0,0,0,0,0,0,0,-1.02331606217617,-0.789333791297991,-1.25729833305434,-0.939300925755493,-1.10733119859684,9767.80128442109,21711.4410617869,818.332885742188,14056.359222972,5479.24334587019
145000,0.000424628450106157,0.0210311431992371,0,0.00782373241343271,0,0.000106157112526539,0.00195593310335818,0,-1.01231422505308,-0.795514602724275,-1.22911384738188,-0.934468797801078,-1.09015965230508,9950.19325964537,23227.8160370985,749.144653320313,14717.739470746,5182.64704854474
150000,0.000414250207125104,0.0207673877324577,0,0.00772237496102942,0,0.000103562551781276,0.00193059374025736,0,-1.02319801159901,-0.788689671970436,-1.25770635122758,-0.938993981645224,-1.10740204155279,10092.1773738782,24676.5238345657,670.510559082031,15328.9239568661,4855.43079089035
155000,0.000404367165386171,0.0205132499137183,0,0.00762478827262497,0,0.000101091791346543,0.00190619706815624,0,-1.02021835826931,-0.791788829994707,-1.24864788654391,-0.938197024308955,-1.10223969222966,10697.9783771668,26844.4409810569,576.836669921875,16495.6281447572,4900.32860957637
160000,0,0,0,0,0,0,0,0,-1.01975010076582,-0.783830276817846,-1.25566992471379,-0.935039254431441,-1.1044609471002,10943.0191662076,28121.8165093633,491.443817138672,17111.3454967089,4774.69283570636
165000,0.00121753246753247,0.0360965205465802,0,0.0137413998985052,0,0.000304383116883117,0.00343534997462631,0,-1.02191558441558,-0.782807281488973,-1.2610238873422,-0.936059862893187,-1.10777130593798,11179.5798135361,29144.2377183847,409.009094238281,17630.0821484434,4729.07747862884
170000,0.00040650406504065,0.0205684500286785,0,0.00764597838197819,0,0.000101626016260163,0.00191149459549455,0,-1.01910569105691,-0.796271318500409,-1.24194006361341,-0.939093388674834,-1.09911799343899,11590.455451221,31033.0545443368,325.271575927734,18571.6365853722,4609.27431706977
175000,0,0,0,0,0,0,0,0,-1.02540322580645,-0.798706230808675,-1.25210022080423,-0.944003986071697,-1.10680246554121,11558.0496031607,31751.3048487295,254.546478271484,18808.7660265313,4307.33317979014
180000,0,0,0,0,0,0,0,0,-1.03109012199921,-0.807885226579344,-1.25429501741908,-0.950944777362285,-1.11123546663614,11582.236334064,32661.4290926434,196.310455322266,19151.0630173975,4013.40965073042
185000,0,0,0,0,0,0,0,0,-1.02561071710008,-0.81425092545363,-1.23697050874653,-0.949718549448338,-1.10150288475182,11430.6911644842,33137.4968510905,151.615417480469,19224.8724679334,3636.50986103491
190000,0,0,0,0,0,0,0,0,-1.0300395256917,-0.803562565751574,-1.25651648563183,-0.948719293119823,-1.11135975826358,11155.2257226213,33099.6862742126,117.102798461914,19034.7408670826,3275.71057815998
195000,0.000399042298483639,0.0203750854122646,0,0.00757176517637797,0,9.97605746209098E-05,0.00189294129409449,0,-1.02633679169992,-0.789708975810459,-1.26296460758938,-0.941371729354535,-1.11130185404531,10481.8218959769,32091.3378594137,90.6326141357422,18241.0697434265,2722.57404852726
200000,0,0,0,0,0,0,0,0,-1.02247191011236,-0.778112357524641,-1.26683146270008,-0.934730642069701,-1.11021317815502,10352.7329297778,32335.7478806296,67.8144989013672,18246.0916577778,2459.3742017777
205000,0.00123711340206186,0.0363952231554755,0,0.013861204005764,0,0.000309278350515464,0.00346530100144099,0,-1.02350515463918,-0.760509428957713,-1.28650088032064,-0.929072265821346,-1.11793804345701,11301.4419548648,34773.2949738176,52.5896415710449,19729.3921838804,2873.49172584922
210000,0.000414765657403567,0.0207805619198522,0,0.00772743573656578,0,0.000103691414350892,0.00193185893414145,0,-1.01866445458316,-0.772397639504416,-1.2649312696619,-0.930238352951307,-1.10709055621501,11558.6779581922,35793.7319273048,39.3320999145508,20260.6678898887,2856.68802649566
215000,0,0,0,0,0,0,0,0,-1.01673819742489,-0.757642426675722,-1.27583396817406,-0.923705650797269,-1.10977074405252,11473.7755830233,36042.4047588747,31.1122283935547,20295.5411130826,2652.01005296396
220000,0,0,0,0,0,0,0,0,-1.01718818862935,-0.768443845821068,-1.26593253143764,-0.927872490407971,-1.10650388685073,12080.1856906188,37484.9783307115,25.0723037719727,21202.1892996341,2958.18208160356
225000,0.000890471950133571,0.0307246017913939,0,0.0116029010551174,0,0.000222617987533393,0.00290072526377934,0,-1.00979519145147,-0.739692921132965,-1.27989746176997,-0.912810582304916,-1.10677980059802,11547.5014879604,36628.4682740261,20.1476364135742,20553.2301621248,2541.77281379598
230000,0,0,0,0,0,0,0,0,-1.01915367483296,-0.783915342336238,-1.25439200732969,-0.934687529077953,-1.10361982058797,12803.4295577476,39330.0239691729,16.4097442626953,22328.2343213193,3278.62479417596
235000,0.000456829602558246,0.0218304021293551,0,0.00813135812515275,0,0.000114207400639561,0.00203283953128819,0,-1.0109639104614,-0.761891714231851,-1.26003610669094,-0.921530491141704,-1.10039732978109,12490.8271440281,38549.5555456903,13.1621952056885,21847.6370142717,3134.01727378453
240000,0.00180505415162455,0.0442622017597941,0,0.0170499829017615,0,0.000451263537906137,0.00426249572544037,0,-1.01534296028881,-0.764404910367118,-1.2662810102105,-0.925239575882024,-1.10544634469559,11733.3759740019,36665.4050095662,11.1523132324219,20685.6261287058,2781.12581929795
245000,0,0,0,0,0,0,0,0,-1.01430549146285,-0.778384739939427,-1.25022624298628,-0.929594312067434,-1.09901667085827,11839.5220931801,36709.1157729234,9.12916660308838,20769.353818842,2909.69036751819
250000,0.000913659205116492,0.0311335471563193,0,0.011764601027797,0,0.000228414801279123,0.00294115025694926,0,-1.03243490178164,-0.780661373597498,-1.28420842996577,-0.942031525328734,-1.12283827823454,11207.97774108,35454.924761106,7.67589282989502,19914.2380659615,2501.7174161986
255000,0.000901306894997747,0.0309163120559275,0,0.0116786822226168,0,0.000225326723749437,0.0029196705556542,0,-1.01397025687247,-0.760440689216514,-1.26749982452842,-0.922936345912693,-1.10500416783224,10730.4574752589,34188.9551405981,6.75997114181519,19153.6122475436,2307.30270297418
260000,0.00132275132275132,0.0376763530816319,0,0.0143761027569948,0,0.000330687830687831,0.0035940256892487,0,-1.01234567901235,-0.750313378007245,-1.27437798001745,-0.918258723479597,-1.10643263454509,10150.7820535528,32726.1725950308,5.79554510116577,18256.8428630907,2044.72124401494
265000,0.000457456541628545,0.0218456902608618,0,0.00813724940360231,0,0.000114364135407136,0.00203431235090058,0,-1.01006404391583,-0.751765978430734,-1.26836210940092,-0.917317926325471,-1.10281016150619,9406.76656907912,30776.4524207699,5.11636066436768,17079.8995178208,1733.63362033743
270000,0,0,0,0,0,0,0,0,-1.00756143667297,-0.719190273645471,-1.29593259970047,-0.904017084741459,-1.11110578860448,8358.64903652871,27995.1250921181,4.47919511795044,15409.4448444324,1307.85322862502
275000,0.000463821892393321,0.0220003465050908,0,0.00819686100929734,0,0.00011595547309833,0.00204921525232433,0,-1.00742115027829,-0.726652184975352,-1.28819011558123,-0.906606490970625,-1.10823580958596,8531.21763645563,27525.4262887823,4.07322978973389,15351.3968967844,1711.03837612687
280000,0,0,0,0,0,0,0,0,-1.00900473933649,-0.729442568988101,-1.28856690968488,-0.9086233993669,-1.10938607930609,7461.92452026329,24348.8209596749,3.58633661270142,13525.4390880727,1398.40995245388
285000,0.00094876660341556,0.031743511459809,0,0.0120061201389609,0,0.00023719165085389,0.00300153003474022,0,-1.00142314990512,-0.711589285450894,-1.29125701435935,-0.897353591258386,-1.10549270855186,7699.89572619917,23995.5466016728,3.26841115951538,13551.1139669154,1848.67748548297
290000,0.00149925037481259,0.0402000400881733,0,0.0153953977844113,0,0.000374812593703148,0.00384884944610284,0,-1.00149925037481,-0.704013534542207,-1.29898496620742,-0.894682170152991,-1.10831633059663,6509.29121124012,21032.5702056368,3.02917051315308,11724.1105281491,1294.47189433114
295000,0.000489236790606654,0.0226079345507971,0,0.00843131463605836,0,0.000122309197651663,0.00210782865901459,0,-1.00048923679061,-0.739650281252911,-1.2613281923283,-0.906830771339029,-1.09414770224218,5434.80140635995,18168.2753873557,2.81890249252319,10006.9621500235,862.640662696381
300000,0.000503271263210871,0.0229369794544768,0,0.00855845872265774,0,0.000125817815802718,0.00213961468066444,0,-0.992954202315048,-0.723774179637909,-1.26213422499219,-0.89630074117006,-1.08960766346004,5497.97895307834,17646.1366138829,2.60930061340332,9859.9723609624,1135.98554519427
305000,0.00206291903042806,0.0474471195556762,0,0.0183588536931751,0,0.000515729757607014,0.00458971342329376,0,-1.00206291903043,-0.688957572772242,-1.31516826528861,-0.889637356695324,-1.11448848136553,4542.96212368518,15085.8373560919,2.50028610229492,8328.55279084288,757.371456527479
310000,0.000503271263210871,0.0229369794544768,0,0.00855845872265777,0,0.000125817815802718,0.00213961468066444,0,-1.00704579768495,-0.721526396037313,-1.29256519933259,-0.904525417016175,-1.10956617835373,4115.76373471419,13704.3209374873,2.39763593673706,7558.69100627591,672.836463152484
315000,0.000510725229826353,0.0231099559651048,0,0.00862534624833613,0,0.000127681307456588,0.00215633656208403,0,-1.00153217568948,-0.720106319093424,-1.28295803228553,-0.900481648888956,-1.10258270249,3720.74421414693,12407.4628844907,2.27909922599793,6839.85170634203,601.636721951841
320000,0.00107411385606874,0.0338389835461432,0,0.0128388727264125,0,0.000268528464017186,0.00320971818160312,0,-0.996240601503759,-0.698502681512335,-1.29397852149518,-0.889332963280558,-1.10314823972696,3467.42627817821,11394.2164681227,2.08289861679077,6313.66910113545,621.183455220976
325000,0.00051413881748072,0.0231887681966067,0,0.00865583294424356,0,0.00012853470437018,0.00216395823606089,0,-1.00771208226221,-0.721826411671307,-1.29359775285312,-0.905060186777719,-1.1103639777467,3187.46793988646,10306.4938790562,1.97805178165436,5743.66988295189,631.265996821026
330000,0.00159404888416578,0.041498359290693,0,0.0159223399550855,0,0.000398512221041445,0.00398058498877137,0,-0.985122210414453,-0.679596785673727,-1.29064763515518,-0.875418342069056,-1.09482607875985,2816.66148447623,9074.75271493346,1.79583919048309,5063.73083074149,569.592138210971
335000,0.000536193029490617,0.0236920352618651,0,0.00885067445061263,0,0.000134048257372654,0.00221266861265316,0,-0.989276139410188,-0.683936039516456,-1.29461623930392,-0.879638814962515,-1.09891346385786,2694.42208288687,8354.57884192562,1.73597180843353,4726.79334113758,662.050824636166
340000,0.00159574468085106,0.0415212525256748,0,0.0159316470364359,0,0.000398936170212766,0.00398291175910897,0,-0.992553191489362,-0.684858934878554,-1.30024744810017,-0.882070568818885,-1.10303581415984,2218.71051183622,7081.30762885538,1.64366984367371,3964.70502078704,472.716002885402
345000,0.0011142061281337,0.034484627978684,0,0.0130963983415306,0,0.000278551532033426,0.00327409958538265,0,-0.976601671309192,-0.608551224144271,-1.34465211847411,-0.844447177670868,-1.10875616494752,1801.20861167894,5880.76080573323,1.51751101016998,3266.03811706134,336.379106296548
