time_step,in_elevator_mean,in_elevator_plus_std,in_elevator_minus_std,in_elevator_plus95,in_elevator_minus95,exit_rate_mean,exit_rate_plus95,exit_rate_minus95,score_mean,score_plus_std,score_minus_std,score_plus95,score_minus95,initial_value_mean,initial_value_plus_std,initial_value_minus_std,initial_value_plus95,initial_value_minus95
0,0,0,0,0,0,0,0,0,-0.99519615692554,-0.772403640534899,-1.21798867331618,-0.946639653709344,-1.04375266014174,0.227079055656055,0.348748457906233,0.105409653405877,0.253596287102531,0.200561824209579
5000,0,0,0,0,0,0,0,0,-1.01234084231146,-0.788286522225431,-1.23639516239749,-0.963509335355524,-1.06117234926739,0.381290252147704,0.511243018673321,0.251337485622087,0.409612800983639,0.352967703311769
10000,0,0,0,0,0,0,0,0,-1.01017079255421,-0.800765754733696,-1.21957583037473,-0.964532022647815,-1.05580956246061,0.933983872391354,1.20269866516688,0.66526907961583,0.992548903708503,0.875418841074205
15000,0,0,0,0,0,0,0,0,-1.00208609899488,-0.80586948796789,-1.19830271002187,-0.959321680069346,-1.04485051792041,1.47377108544162,1.84214639543971,1.10539577544353,1.55405662292048,1.39348554796276
20000,0.000186462800671266,0.0138416010523064,0,0.00316253118561897,0,4.66157001678165E-05,0.000790632796404742,0,-1.00727204922618,-0.814761984636484,-1.19978211381588,-0.965315453368131,-1.04922864508423,1.87302972406632,2.48303381540685,1.26302563272579,2.00597703353131,1.74008241460134
25000,0,0,0,0,0,0,0,0,-1.01346863468635,-0.791075475137173,-1.23586179423552,-0.964999169275869,-1.06193810009683,2.14823254476614,2.9780907565261,1.31837433300619,2.32909594889259,1.96736914063969
30000,0,0,0,0,0,0,0,0,-1.00378214826021,-0.790756196362078,-1.21680810015835,-0.957354218426436,-1.05021007809399,2.3379157964653,3.38770796852934,1.28812362440127,2.56671269595266,2.10911889697794
35000,0,0,0,0,0,0,0,0,-1.00783582089552,-0.796357540287449,-1.2193141015036,-0.961745198199306,-1.05392644359174,2.49153387606589,3.9440320995575,1.16453969478607,2.8080985246595,2.17496922747227
40000,0,0,0,0,0,0,0,0,-1,-0.786196054909751,-1.21380394509025,-0.953402510481064,-1.04659748951894,2.67716972852676,4.66482749227042,1.18209362030029,3.1103696948519,2.24396976220163
45000,0,0,0,0,0,0,0,0,-0.996596066565809,-0.777436811415019,-1.2157553217166,-0.948831414278612,-1.04436071885301,2.75611871232965,4.97222541574634,1.14304900169373,3.23910797074447,2.27312945391483
50000,0,0,0,0,0,0,0,0,-1.01575668743129,-0.798891738952168,-1.23262163591042,-0.96849206769046,-1.06302130717213,2.78834801604347,5.26251014543397,1.09813153743744,3.3275791506409,2.24911688144604
55000,0,0,0,0,0,0,0,0,-1.00614161849711,-0.784547172584997,-1.22773606440922,-0.957846228688071,-1.05443700830615,2.79246030394742,5.35874735090617,1.08296346664429,3.35176959883795,2.23315100905689
60000,0,0,0,0,0,0,0,0,-1.00765260722549,-0.790601372491971,-1.224703841959,-0.960347387336779,-1.05495782711419,2.77680023857062,5.29031025451554,1.0766566991806,3.32460704622468,2.22899343091656
65000,0,0,0,0,0,0,0,0,-1.00502692998205,-0.778464698802695,-1.2315891611614,-0.955648836475352,-1.05440502348874,2.87868970375729,5.45906007128585,1.04739820957184,3.44106838720548,2.31631102030909
70000,0,0,0,0,0,0,0,0,-1.01020587717755,-0.796537073964882,-1.22387468039021,-0.963637841147983,-1.05677391320711,2.91589228932379,5.60973318811938,1.0258104801178,3.50300130171513,2.32878327693245
75000,0,0,0,0,0,0,0,0,-1.00783835568716,-0.782815215570822,-1.2328614958035,-0.958795699300897,-1.05688101207343,2.93395358792292,5.71727252109659,1.05128371715546,3.54056388579029,2.32734329005554
