time_step,in_elevator_mean,in_elevator_plus_std,in_elevator_minus_std,in_elevator_plus95,in_elevator_minus95,exit_rate_mean,exit_rate_plus95,exit_rate_minus95,score_mean,score_plus_std,score_minus_std,score_plus95,score_minus95,initial_value_mean,initial_value_plus_std,initial_value_minus_std,initial_value_plus95,initial_value_minus95
0,0,0,0,0,0,0,0,0,-0.998194945848375,-0.785725025222344,-1.21066486647441,-0.949239997097944,-1.04714989459881,0.297719181387304,0.454220557810085,0.141217804964522,0.333778482579562,0.261659880195045
5000,0,0,0,0,0,0,0,0,-1.00786197859795,-0.796913834651729,-1.21881012254417,-0.959257660652809,-1.05646629654309,0.673207982687951,1.11527680869681,0.231139156679091,0.775064549761831,0.571351415614071
10000,0,0,0,0,0,0,0,0,-1.00580895008606,-0.790791143211814,-1.2208267569603,-0.956266945811081,-1.05535095436104,2.43298943051604,4.94609072183347,0.308159172534943,3.01203019336186,1.85394866767021
15000,0,0,0,0,0,0,0,0,-1.00576923076923,-0.791487411249243,-1.22005105028922,-0.956396804489588,-1.05514165704887,6.77332138920951,16.2757830949133,0.743081152439117,8.96277260392735,4.58387017449167
20000,0,0,0,0,0,0,0,0,-1.00532821824382,-0.795331418649937,-1.2153250178377,-0.956943098450944,-1.05371333803669,17.0999966272918,45.2459955021461,1.13179910182953,23.5850836852072,10.6149095693763
25000,0,0,0,0,0,0,0,0,-1.01572522242913,-0.807848020446381,-1.22360242441189,-0.967828476671127,-1.06362196818714,35.1130406012477,94.6732221260492,2.28000450134277,48.8362331619731,21.3898480405223
30000,0,0,0,0,0,0,0,0,-1.01014282757193,-0.807416583817898,-1.21286907132596,-0.963432908143787,-1.05685274700008,54.9728775949267,147.942898020203,3.17887926101685,76.3939925077374,33.551762682116
35000,0,0,0,0,0,0,0,0,-1.01307058113815,-0.823780500682953,-1.20236066159334,-0.969456472560587,-1.05668468971571,82.2321684750278,229.345984393314,3.47437238693237,116.128492705488,48.3358442445672
40000,0,0,0,0,0,0,0,0,-1.00968473109417,-0.812557371955317,-1.20681209023302,-0.964264844196691,-1.05510461799165,144.06790671775,422.931473469739,3.80658054351807,208.320538706702,79.815274728798
45000,0,0,0,0,0,0,0,0,-1.01300284437221,-0.80881591540012,-1.21718977334429,-0.965956370151837,-1.06004931859258,198.522086103144,609.903109759136,3.9467396736145,293.307912118612,103.736260087676
50000,0,0,0,0,0,0,0,0,-1.01838161838162,-0.811433518103285,-1.22532971865995,-0.970698945873085,-1.06606429089015,270.47642715013,809.705272558784,3.89386415481567,394.719521955998,146.233332344262
55000,0,0,0,0,0,0,0,0,-1.01555023923445,-0.826736932305826,-1.20436354616307,-0.972045983493894,-1.05905449497501,315.266361771351,933.84358852693,3.58387470245361,457.792025379536,172.740698163165
60000,0,0,0,0,0,0,0,0,-1.01344139157936,-0.809154600049719,-1.21772818310901,-0.96637190814257,-1.06051087501616,370.498535135043,1085.02002575768,3.28504085540772,535.130605648593,205.866464621493
65000,0.000193986420950533,0.0141218872301369,0,0.0034030979427406,0,4.84966052376334E-05,0.00085077448568515,0,-1.0164888457808,-0.822677709065417,-1.21029998249617,-0.971833045857642,-1.06114464570395,446.88463345721,1290.2697445934,2.87882566452026,641.208021779175,252.561245135245
70000,0,0,0,0,0,0,0,0,-1.01449275362319,-0.813833046302228,-1.21515246094415,-0.968258982465227,-1.06072652478115,511.187568254981,1472.92021054209,2.54045557975769,732.77927439418,289.595862115781
75000,0,0,0,0,0,0,0,0,-1.02009302325581,-0.809722714467784,-1.23046333204384,-0.971621843641372,-1.06856420287026,564.461773674588,1639.36634974565,2.23503470420837,812.129294225806,316.794253123369
80000,0,0,0,0,0,0,0,0,-1.02136752136752,-0.810819288284632,-1.23191575445041,-0.97285534642202,-1.06987969631302,610.014355387709,1775.37247771745,1.96218848228455,878.5231729486,341.505537826818
85000,0,0,0,0,0,0,0,0,-1.02201834862385,-0.804693061441871,-1.23934363580584,-0.971944680479115,-1.07209201676859,685.671246899902,1947.84900841845,1.77667248249054,976.48816558192,394.854328217884
90000,0,0,0,0,0,0,0,0,-1.02494955054119,-0.814835181891394,-1.23506391919098,-0.976537341798073,-1.0733617592843,676.55452918838,1976.38448136911,1.63055670261383,976.046845586824,377.062212789935
95000,0,0,0,0,0,0,0,0,-1.02123447903545,-0.813615763061218,-1.22885319500968,-0.973397290739802,-1.0690716673311,720.529508167899,2075.19559693673,1.57927346229553,1032.65655539522,408.402460940581
100000,0,0,0,0,0,0,0,0,-1.02835873803616,-0.808988880180973,-1.24772859589134,-0.977813982726571,-1.07890349334574,755.933005193707,2169.56228092726,1.58448195457459,1081.64569215542,430.220318231997
105000,0.000178316690442225,0.013531843956383,0,0.00325508746823264,0,4.45791726105564E-05,0.00081377186705816,0,-1.02567760342368,-0.805303541551855,-1.24605166529551,-0.974901470627696,-1.07645373621967,775.573153697964,2231.13265901267,1.69321155548096,1110.94693637709,440.19937101884
110000,0.000526962936940102,0.023478602917375,0,0.00581522376779059,0,0.000131740734235025,0.00145380594194765,0,-1.02459160372387,-0.815623160727275,-1.23356004672047,-0.976443426385575,-1.07273978106217,800.1613878981,2311.58955171707,2.02528214454651,1148.40780358698,451.914972209217
115000,0.000179179358537896,0.0135649687838165,0,0.00326338362315934,0,4.47948396344741E-05,0.000815845905789834,0,-1.02813115929045,-0.802298011256007,-1.25396430732489,-0.976097204763616,-1.08016511381728,851.506474019464,2435.33866776078,2.81420469284058,1216.43541852809,486.577529510834
120000,0,0,0,0,0,0,0,0,-1.02446923353724,-0.806229434865048,-1.24270903220944,-0.974184853857418,-1.07475361321707,889.069378545877,2580.81559739401,3.46709632873535,1278.8626688075,499.276088284252
125000,0.000180929980097702,0.0136319515062757,0,0.003280164297665,0,4.52324950244256E-05,0.000820041074416251,0,-1.02243531753212,-0.797650858651166,-1.24721977641306,-0.970642990260627,-1.0742276448036,932.544443484735,2680.40059074388,3.16384029388428,1335.26595747637,529.822929493096
130000,0.000351370344342937,0.0190945985331168,0,0.00466997588010767,0,8.78425860857344E-05,0.00116749397002692,0,-1.02319044272663,-0.782044704247181,-1.26433618120609,-0.96762833194002,-1.07875255351325,934.867076335788,2717.21708281369,2.91365218162537,1345.53628054769,524.197872123888
135000,0.000717102904266762,0.0274886765913007,0,0.00688551024378822,0,0.000179275726066691,0.00172137756094706,0,-1.02079598422374,-0.793712888721509,-1.24787907972596,-0.968474030746059,-1.07311793770141,975.452404138263,2812.98851447427,2.6226077079773,1398.83697473308,552.067833543448
140000,0.000704349357281212,0.0272369182253364,0,0.00681768787280286,0,0.000176087339320303,0.00170442196820072,0,-1.02148265539708,-0.793400032222303,-1.24956527857185,-0.968930401904038,-1.07403490889012,1035.81942475214,2940.86340119322,2.54017162322998,1474.75840472258,596.880444781688
145000,0,0,0,0,0,0,0,0,-1.02767559992994,-0.803197986612468,-1.2521532132474,-0.97595397258995,-1.07939722726992,1055.33991009998,2960.90529044979,2.47232580184937,1494.39902614218,616.28079405778
150000,0.000530503978779841,0.0235591019086306,0,0.00583649660177526,0,0.00013262599469496,0.00145912415044381,0,-1.03448275862069,-0.797223073612166,-1.27174244362921,-0.979816028921197,-1.08914948832018,1044.27581463442,2858.5164409668,2.47692489624023,1462.29289969456,626.258729574279
155000,0.000344115622849277,0.0188928731251571,0,0.0046179133925954,0,8.60289057123193E-05,0.00115447834814885,0,-1.03011011699931,-0.798496349907693,-1.26172388409093,-0.976744256719156,-1.08347597727947,1027.79448957281,2736.11674511044,2.57219862937927,1421.40704528259,634.181933863025
160000,0.00016923337282112,0.0131782061539871,0,0.00316661575015383,0,4.23083432052801E-05,0.000791653937538456,0,-1.0336774411914,-0.808224392005797,-1.25913049037701,-0.981731064800854,-1.08562381758195,1001.79113033827,2590.93984922786,2.57782387733459,1367.94504925927,635.637211417274
165000,0.00034346556757685,0.0188746979374846,0,0.0046132253918295,0,8.58663918942126E-05,0.00115330634795738,0,-1.03280096170359,-0.78735637237668,-1.2782455510305,-0.976248357663611,-1.08935356574357,977.990840041431,2476.86593098006,2.55630922317505,1323.34491672201,632.636763360849
170000,0.000174307129161583,0.0133768496555684,0,0.00321628968768688,0,4.35767822903957E-05,0.000804072421921719,0,-1.03242112602405,-0.79257514795942,-1.27226710408869,-0.977158491531816,-1.08768376051629,950.130878508205,2379.26653735815,2.50771522521973,1279.41637327504,620.845383741367
175000,0.000351679268507122,0.0191031437040516,0,0.00467218250836741,0,8.79198171267804E-05,0.00116804562709185,0,-1.03059609636012,-0.770493746570566,-1.29069844614967,-0.970666214679473,-1.09052597804077,917.683328832036,2299.14501738763,2.57080936431885,1235.98431922474,599.382338439336
180000,0,0,0,0,0,0,0,0,-1.03110173958882,-0.797879114214637,-1.26432436496301,-0.977365184131969,-1.08483829504568,868.592729541167,2225.70212499802,2.61805129051209,1181.28273623748,555.902722844849
185000,0.000700402731570653,0.0271585724367112,0,0.0067965990219866,0,0.000175100682892663,0.00169914975549665,0,-1.03186832428646,-0.780706413160044,-1.28303023541289,-0.973998398741117,-1.08973824983181,837.771236872051,2198.79974005443,2.89510726928711,1151.36424064807,524.178233096029
190000,0.000700525394045534,0.0271610106070202,0,0.00679725519794433,0,0.000175131348511384,0.00169931379948608,0,-1.03222416812609,-0.796186211094364,-1.26826212515783,-0.977838935357154,-1.08660940089504,817.490563614523,2159.96399945663,2.99997806549072,1126.80831577833,508.172811450715
195000,0,0,0,0,0,0,0,0,-1.03288543140028,-0.787005748014378,-1.27876511478619,-0.976232577841234,-1.08953828495933,786.719325955636,2058.47739306188,3.24897742271423,1079.74363177122,493.695020140054
200000,0.000703111267358059,0.0272123630124003,0,0.00681107731152591,0,0.000175777816839515,0.00170276932788148,0,-1.03199156266479,-0.778264930505466,-1.28571819482412,-0.973530702711622,-1.09045242261796,747.234359581204,1931.13026413555,3.59499597549438,1020.0144461108,474.454273051611
205000,0,0,0,0,0,0,0,0,-1.02960352422907,-0.781584723870613,-1.27762232458754,-0.972457799201659,-1.08674924925649,697.828772168475,1765.34597773642,3.97529602050781,943.794177223463,451.863367113486
210000,0.000352360817477097,0.0191219832821193,0,0.00467704782782719,0,8.80902043692741E-05,0.0011692619569568,0,-1.02906976744186,-0.77091518875443,-1.28722434612929,-0.969588669448811,-1.08855086543491,653.793641273281,1594.04172416509,4.47779130935669,870.435114922991,437.152167623572
215000,0.000873667656823344,0.0304212041694743,0,0.00768168138138403,0,0.000218416914205836,0.00192042034534601,0,-1.03354883802202,-0.771956831202013,-1.29514084484202,-0.973275726187348,-1.09382194985668,593.078814635676,1396.42694670717,4.75383949279785,778.177328902719,407.980300368633
220000,0.000528262017960909,0.0235081650788823,0,0.00582303491250808,0,0.000132065504490227,0.00145575872812702,0,-1.04032400070435,-0.77299872228829,-1.30764927912041,-0.978729892390131,-1.10191810901857,548.323573343727,1270.6812813934,5.01023387908936,714.761177654286,381.885969033169
