time_step,in_elevator_mean,in_elevator_plus_std,in_elevator_minus_std,in_elevator_plus95,in_elevator_minus95,exit_rate_mean,exit_rate_plus95,exit_rate_minus95,score_mean,score_plus_std,score_minus_std,score_plus95,score_minus95,initial_value_mean,initial_value_plus_std,initial_value_minus_std,initial_value_plus95,initial_value_minus95
0,0,0,0,0,0,0,0,0,-1.00406053894426,-0.822817361441519,-1.185303716447,-0.965559692735612,-1.04256138515291,0.253638395710944,0.427442830982072,0.0798339604398155,0.290559056256378,0.216717735165509
5000,0.000184877056757256,0.0137818273308907,0,0.00307322904122369,0,4.62192641893141E-05,0.000768307260305923,0,-1.00794971344056,-0.792660344767387,-1.22323908211374,-0.96221655543787,-1.05368287144325,0.44591586036619,0.706475486521912,0.185356234210468,0.501265618812422,0.390566101919958
10000,0.000181785129976368,0.0136645567284412,0,0.00304588254280709,0,4.5446282494092E-05,0.000761470635701772,0,-1.01199781857844,-0.799135018560201,-1.22486061859668,-0.966780127959876,-1.057215509197,1.67275891103185,3.05667302396402,0.288844798099675,1.96673888402793,1.37877893803577
15000,0,0,0,0,0,0,0,0,-1.00846999459362,-0.801089105554137,-1.2158508836331,-0.964416806906591,-1.05252318228065,4.74349698782569,11.2585123445279,0.667287588119507,6.12745862296961,3.35953535268176
20000,0,0,0,0,0,0,0,0,-1.00676046044217,-0.804096430888493,-1.20942448999585,-0.963709258507946,-1.0498116623764,12.8244401205181,40.0783358922339,1.27490699291229,18.6138886622569,7.03499157877926
25000,0,0,0,0,0,0,0,0,-1.01070780399274,-0.817161428169796,-1.20425417981569,-0.969593432944552,-1.05182217504093,30.5123770650415,102.77280928025,1.84925413131714,45.86240472413,15.1623494059531
30000,0,0,0,0,0,0,0,0,-1.00741812918401,-0.797849756643311,-1.2169865017247,-0.962900262125182,-1.05193599624283,56.8279523323215,189.249488277403,2.95904755592346,84.9577901578442,28.6981145067988
35000,0.00017905102954342,0.0135600461174812,0,0.00302152841874928,0,4.4762757385855E-05,0.000755382104687321,0,-1.0136078782453,-0.813784442010756,-1.21343131447984,-0.971160093488087,-1.05605566300251,89.0702770134542,280.774802724519,2.86356902122498,129.793390366462,48.347163660446
40000,0,0,0,0,0,0,0,0,-1.01821967725143,-0.803729437832304,-1.23270991667056,-0.972656275445551,-1.06378307905731,123.171853317272,370.547959625385,2.70713067054749,175.721083340117,70.6226232944272
45000,0.000174764068507515,0.0133946002440248,0,0.00298300704079492,0,4.36910171268787E-05,0.000745751760198731,0,-1.01450541768612,-0.82669470661283,-1.20231612875942,-0.97460945358419,-1.05440138178806,152.956861759849,457.926657812037,2.65786409378052,217.740515290258,88.1732082294396
50000,0,0,0,0,0,0,0,0,-1.01968840951892,-0.814976854635061,-1.22439996440278,-0.97620225903142,-1.06317456000642,191.621426683484,564.635501390259,2.67087507247925,270.859485306294,112.383368060673
55000,0,0,0,0,0,0,0,0,-1.01750547045952,-0.812279377238516,-1.22273156368052,-0.973910018415626,-1.06110092250341,228.733066864877,670.840405282501,2.63619732856751,322.648362759942,134.817770969813
60000,0,0,0,0,0,0,0,0,-1.02795806290564,-0.815456380672207,-1.24045974513908,-0.982817083258975,-1.07309904255231,275.198662695859,800.560205074346,2.62668037414551,386.79935424049,163.597971151227
65000,0,0,0,0,0,0,0,0,-1.02178613005156,-0.826130546744265,-1.21744171335884,-0.98022370752857,-1.06334855257454,320.506876625119,914.043501984995,2.58347272872925,446.589759561967,194.423993688271
70000,0,0,0,0,0,0,0,0,-1.02097329182369,-0.817224655447722,-1.22472192819966,-0.977691690704035,-1.06425489294335,359.894017305684,1027.0427330806,2.62657999992371,501.614055865252,218.173978746115
75000,0,0,0,0,0,0,0,0,-1.02194765078849,-0.81318160242293,-1.23071369915405,-0.977600218612247,-1.06629508296473,440.459282484467,1293.1321221607,2.83301591873169,621.589553532432,259.329011436502
80000,0,0,0,0,0,0,0,0,-1.02194719471947,-0.814764319295353,-1.22913007014359,-0.977936070363363,-1.06595831907558,487.00420038944,1374.25717497352,2.99227094650269,675.480207008285,298.528193770596
85000,0.000161864681126578,0.0128844698045508,0,0.00286448262227863,0,4.04661702816446E-05,0.000716120655569657,0,-1.01861443832956,-0.797186873013995,-1.24004200364512,-0.971577364956459,-1.06565151170265,569.841972211527,1522.3127969122,3.20337390899658,772.171975720047,367.511968703008
90000,0.000161420500403551,0.0128665572727311,0,0.00286032770160744,0,4.03551251008878E-05,0.00071508192540186,0,-1.02485875706215,-0.801804347733625,-1.24791316639067,-0.977476098977881,-1.07224141514641,630.209667690768,1655.04123705236,3.6729474067688,847.911007875898,412.508327505639
95000,0.000316005688102386,0.0180911498623316,0,0.00409191660302879,0,7.90014220255965E-05,0.0010229791507572,0,-1.0197503555064,-0.79965842925965,-1.23984228175315,-0.972997007209672,-1.06650370380313,707.568867437571,1829.12611849512,4.20127582550049,945.817301569707,469.320433305435
